Time,PolygonId,Area
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-02-15,LTEyMC4yMzk5LDM2LjIwOQ,453.92
2019-02-15,LTEyMC4yMzk5LDM2LjIwOQ,453.92
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-02-15,LTEyMC4yMzk5LDM2LjIwOQ,453.92
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-12,LTEuODk0OSwzOS4wOTA3,19.32
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-13,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-26,LTc5Ljg5MTksNDMuNDU3,87.57
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-26,LTc5Ljg5MTksNDMuNDU3,87.57
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-03-14,LTEuOTA2NSw0Ljk1Nw,318.61
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-01-31,MTA2LjUyMzksMjkuNjI2NQ,75.25
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-01,MTA5LjY5NzEsLTcuMDY0OA,19.4
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-25,LTg4LjEwMiwzOC4wNzgz,6.89
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
2019-03-14,MTAxLjk5MDQsMzguMTQyOA,19.4
